Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
2016-09-02,"310,00",",",",","310,00",0.0,0,0,0
2016-09-01,"310,00",",",",","310,00",0.0,0,0,0
2016-08-31,"310,00",",",",","310,00",0.0,0,0,0
2016-08-30,"310,00",",",",","310,00",0.0,0,0,0
2016-08-29,"310,00",",",",","310,00",0.0,0,0,0
2016-08-26,"310,00",",",",","310,00",0.0,0,0,0
2016-08-25,"310,00",",",",","310,00",0.0,0,0,0
2016-08-24,"310,00",",",",","310,00",0.0,0,0,0
2016-08-23,"310,00",",",",","310,00",0.0,0,0,0
2016-08-22,"310,00",",",",","310,00",0.0,0,0,0
2016-08-19,"310,00",",",",","310,00",0.0,0,0,0
2016-08-18,"310,00",",",",","310,00",0.0,0,0,0
2016-08-17,"310,00",",",",","310,00",0.0,0,0,0
2016-08-16,"310,00",",",",","310,00",0.0,0,0,0
2016-08-15,"310,00",",",",","310,00",0.0,0,0,0
2016-08-12,"310,00",",",",","310,00",0.0,0,0,0
2016-08-11,"310,00",",",",","310,00",0.0,0,0,0
2016-08-10,"310,00",",",",","310,00",0.0,0,0,0
2016-08-09,"310,00",",",",","310,00",0.0,0,0,0
2016-08-08,"310,00",",",",","310,00",0.0,0,0,0
2016-08-05,"310,00",",",",","310,00",0.0,0,0,0
2016-08-04,"310,00",",",",","310,00",0.0,0,0,0
2016-08-03,"310,00",",",",","310,00",0.0,0,0,0
2016-08-01,"310,00",",",",","310,00",0.0,0,0,0
2016-07-29,"310,00",",",",","310,00",0.0,0,0,0
2016-07-28,"310,00",",",",","310,00",0.0,0,0,0
2016-07-27,"310,00",",",",","310,00",0.0,0,0,0
2016-07-26,"310,00",",",",","310,00",0.0,0,0,0
2016-07-25,"310,00",",",",","310,00",0.0,0,0,0
2016-07-22,"310,00",",",",","310,00",0.0,0,0,0
2016-07-21,"310,00",",",",","310,00",0.0,0,0,0
2016-07-20,"310,00",",",",","310,00",0.0,0,0,0
2016-07-19,"310,00",",",",","310,00",0.0,0,0,0
2016-07-18,"310,00",",",",","310,00",0.0,0,0,0
2016-07-15,"310,00",",",",","310,00",0.0,0,0,0
2016-07-14,"310,00",",",",","310,00",0.0,0,0,0
2016-07-13,"310,00",",",",","310,00",0.0,0,0,0
2016-07-12,"310,00",",",",","310,00",0.0,0,0,0
2016-07-11,"310,00",",",",","310,00",0.0,0,0,0
2016-07-08,"310,00",",",",","310,00",0.0,0,0,0
2016-07-07,"310,00",",",",","310,00",0.0,0,0,0
2016-07-06,"310,00",",",",","310,00",0.0,0,0,0
2016-07-04,"310,00",",",",","310,00",0.0,0,0,0
2016-07-01,"310,00",",",",","310,00",0.0,0,0,0
2016-06-30,"310,00",",",",","310,00",0.0,0,0,0
2016-06-29,"310,00",",",",","310,00",0.0,0,0,0
2016-06-28,"310,00",",",",","310,00",0.0,0,0,0
2016-06-27,"310,00",",",",","310,00",0.0,0,0,0
2016-06-24,"310,00",",",",","310,00",0.0,0,0,0
2016-06-23,"310,00",",",",","310,00",0.0,0,0,0
2016-06-22,"310,00",",",",","310,00",0.0,0,0,0
2016-06-21,"310,00",",",",","310,00",0.0,0,0,0
2016-06-20,"310,00",",",",","310,00",0.0,0,0,0
2016-06-16,"310,00",",",",","310,00",0.0,0,0,0
2016-06-15,"310,00",",",",","310,00",0.0,0,0,0
2016-06-14,"310,00",",",",","310,00",0.0,0,0,0
2016-06-13,"310,00",",",",","310,00",0.0,0,0,0
2016-06-10,"310,00",",",",","310,00",0.0,0,0,0
2016-06-09,"310,00",",",",","310,00",0.0,0,0,0
2016-06-08,"310,00",",",",","310,00",0.0,0,0,0
2016-06-07,"310,00",",",",","310,00",0.0,0,0,0
2016-06-06,"310,00",",",",","310,00",0.0,0,0,0
2016-06-03,"310,00",",",",","310,00",0.0,0,0,0
2016-06-02,"310,00",",",",","310,00",0.0,0,0,0
2016-06-01,"310,00",",",",","310,00",0.0,0,0,0
2016-05-31,"310,00",",",",","310,00",0.0,0,0,0
2016-05-30,"310,00",",",",","310,00",0.0,0,0,0
2016-05-27,"310,00",",",",","310,00",0.0,0,0,0
2016-05-26,"310,00",",",",","310,00",0.0,0,0,0
2016-05-25,"310,00",",",",","310,00",0.0,0,0,0
2016-05-23,"310,00",",",",","310,00",0.0,0,0,0
2016-05-20,"310,00",",",",","310,00",0.0,0,0,0
2016-05-19,"310,00",",",",","310,00",0.0,0,0,0
2016-05-18,"310,00",",",",","310,00",0.0,0,0,0
2016-05-17,"310,00",",",",","310,00",0.0,0,0,0
2016-05-16,"310,00",",",",","310,00",0.0,0,0,0
2016-05-13,"310,00",",",",","310,00",0.0,0,0,0
2016-05-12,"310,00",",",",","310,00",0.0,0,0,0
2016-05-11,"310,00",",",",","310,00",0.0,0,0,0
2016-05-10,"310,00",",",",","310,00",0.0,0,0,0
2016-05-09,"310,00",",",",","310,00",0.0,0,0,0
2016-05-06,"310,00",",",",","310,00",0.0,0,0,0
2016-05-05,"310,00",",",",","310,00",0.0,0,0,0
2016-05-04,"310,00",",",",","310,00",0.0,0,0,0
2016-05-03,"310,00",",",",","310,00",0.0,0,0,0
2016-04-28,"310,00",",",",","310,00",0.0,0,0,0
2016-04-27,"310,00",",",",","310,00",0.0,0,0,0
2016-04-26,"310,00",",",",","310,00",0.0,0,0,0
2016-04-25,"310,00",",",",","310,00",0.0,0,0,0
2016-04-22,"310,00",",",",","310,00",0.0,0,0,0
2016-04-21,"310,00",",",",","310,00",0.0,0,0,0
2016-04-20,"310,00",",",",","310,00",0.0,0,0,0
2016-04-19,"310,00",",",",","310,00",0.0,0,0,0
2016-04-18,"310,00",",",",","310,00",0.0,0,0,0
2016-04-15,"310,00",",",",","310,00",0.0,0,0,0
2016-04-14,"310,00",",",",","310,00",0.0,0,0,0
2016-04-13,"310,00",",",",","310,00",0.0,0,0,0
2016-04-12,"310,00",",",",","310,00",0.0,0,0,0
2016-04-11,"310,00",",",",","310,00",0.0,0,0,0
2016-04-08,"310,00",",",",","310,00",0.0,0,0,0
2016-04-07,"310,00",",",",","310,00",0.0,0,0,0
2016-04-06,"310,00",",",",","310,00",0.0,0,0,0
2016-04-05,"310,00",",",",","310,00",0.0,0,0,0
2016-04-04,"310,00",",",",","310,00",0.0,0,0,0
2016-04-01,"310,00",",",",","310,00",0.0,0,0,0
2016-03-31,"310,00",",",",","310,00",0.0,0,0,0
2016-03-30,"310,00",",",",","310,00",0.0,0,0,0
2016-03-29,"310,00",",",",","310,00",0.0,0,0,0
2016-03-28,"310,00",",",",","310,00",0.0,0,0,0
2016-03-25,"310,00",",",",","310,00",0.0,0,0,0
2016-03-24,"310,00",",",",","310,00",0.0,0,0,0
2016-03-23,"310,00",",",",","310,00",0.0,0,0,0
2016-03-22,"310,00",",",",","310,00",0.0,0,0,0
2016-03-21,"310,00",",",",","310,00",0.0,0,0,0
2016-03-18,"310,00",",",",","310,00",0.0,0,0,0
2016-03-17,"310,00",",",",","310,00",0.0,0,0,0
2016-03-16,"310,00",",",",","310,00",0.0,0,0,0
2016-03-15,"310,00",",",",","310,00",0.0,0,0,0
2016-03-14,"310,00",",",",","310,00",0.0,0,0,0
2016-03-11,"310,00",",",",","310,00",0.0,0,0,0
2016-03-10,"310,00",",",",","310,00",0.0,0,0,0
2016-03-09,"310,00",",",",","310,00",0.0,0,0,0
2016-03-08,"310,00",",",",","310,00",0.0,0,0,0
2016-03-07,"310,00",",",",","310,00",0.0,0,0,0
2016-03-04,"310,00",",",",","310,00",0.0,0,0,0
2016-03-03,"310,00",",",",","310,00",0.0,0,0,0
2016-03-02,"310,00",",",",","310,00",0.0,0,0,0
2016-03-01,"310,00",",",",","310,00",0.0,0,0,0
2016-02-29,"310,00",",",",","310,00",0.0,0,0,0
2016-02-26,"310,00",",",",","310,00",0.0,0,0,0
2016-02-25,"310,00",",",",","310,00",0.0,0,0,0
2016-02-24,"310,00",",",",","310,00",0.0,0,0,0
2016-02-23,"310,00",",",",","310,00",0.0,0,0,0
2016-02-22,"310,00",",",",","310,00",0.0,0,0,0
2016-02-19,"310,00",",",",","310,00",0.0,0,0,0
2016-02-18,"310,00",",",",","310,00",0.0,0,0,0
2016-02-17,"310,00",",",",","310,00",0.0,0,0,0
2016-02-16,"310,00",",",",","310,00",0.0,0,0,0
2016-02-15,"310,00",",",",","310,00",0.0,0,0,0
2016-02-12,"310,00",",",",","310,00",0.0,0,0,0
2016-02-11,"310,00",",",",","310,00",0.0,0,0,0
2016-02-10,"310,00",",",",","310,00",0.0,0,0,0
2016-02-09,"310,00",",",",","310,00",0.0,0,0,0
2016-02-08,"310,00",",",",","310,00",0.0,0,0,0
2016-02-05,"310,00",",",",","310,00",0.0,0,0,0
2016-02-04,"310,00",",",",","310,00",0.0,0,0,0
2016-02-03,"310,00",",",",","310,00",0.0,0,0,0
2016-02-02,"310,00",",",",","310,00",0.0,0,0,0
2016-02-01,"310,00",",",",","310,00",0.0,0,0,0
2016-01-29,"310,00",",",",","310,00",0.0,0,0,0
2016-01-28,"310,00",",",",","310,00",0.0,0,0,0
2016-01-27,"310,00",",",",","310,00",0.0,0,0,0
2016-01-26,"310,00",",",",","310,00",0.0,0,0,0
2016-01-25,"310,00",",",",","310,00",0.0,0,0,0
2016-01-22,"310,00",",",",","310,00",0.0,0,0,0
2016-01-21,"310,00",",",",","310,00",0.0,0,0,0
2016-01-20,"310,00",",",",","310,00",0.0,0,0,0
2016-01-18,"310,00",",",",","310,00",0.0,0,0,0
2016-01-15,"310,00",",",",","310,00",0.0,0,0,0
2016-01-14,"310,00",",",",","310,00",0.0,0,0,0
2016-01-13,"310,00",",",",","310,00",0.0,0,0,0
2016-01-12,"310,00",",",",","310,00",0.0,0,0,0
2016-01-11,"310,00",",",",","310,00",0.0,0,0,0
2016-01-08,"310,00",",",",","310,00",0.0,0,0,0
2016-01-05,"310,00",",",",","310,00",0.0,0,0,0
2016-01-04,"310,00",",",",","310,00",0.0,0,0,0
2015-12-30,"310,00",",",",","310,00",0.0,0,0,0
2015-12-29,"310,00",",",",","310,00",0.0,0,0,0
2015-12-28,"310,00",",",",","310,00",0.0,0,0,0
2015-12-25,"310,00",",",",","310,00",0.0,0,0,0
2015-12-24,"310,00",",",",","310,00",0.0,0,0,0
2015-12-23,"310,00",",",",","310,00",0.0,0,0,0
2015-12-22,"310,00",",",",","310,00",0.0,0,0,0
2015-12-21,"310,00",",",",","310,00",0.0,0,0,0
2015-12-18,"310,00",",",",","310,00",0.0,0,0,0
2015-12-17,"310,00",",",",","310,00",0.0,0,0,0
2015-12-16,"310,00",",",",","310,00",0.0,0,0,0
2015-12-15,"310,00",",",",","310,00",0.0,0,0,0
2015-12-14,"310,00",",",",","310,00",0.0,0,0,0
2015-12-11,"310,00",",",",","310,00",0.0,0,0,0
2015-12-10,"310,00",",",",","310,00",0.0,0,0,0
2015-12-09,"310,00",",",",","310,00",0.0,0,0,0
2015-12-07,"310,00",",",",","310,00",0.0,0,0,0
2015-12-04,"310,00",",",",","310,00",0.0,0,0,0
2015-12-03,"310,00","310,00","310,00","310,00",26.02,614,"190,340","190,340"
2015-12-01,"246,00",",",",","246,00",0.0,0,0,0
2015-11-30,"246,00",",",",","246,00",0.0,0,0,0
2015-11-27,"246,00",",",",","246,00",0.0,0,0,0
2015-11-26,"246,00",",",",","246,00",0.0,0,0,0
2015-11-25,"246,00",",",",","246,00",0.0,0,0,0
2015-11-24,"246,00",",",",","246,00",0.0,0,0,0
2015-11-23,"246,00",",",",","246,00",0.0,0,0,0
2015-11-20,"246,00",",",",","246,00",0.0,0,0,0
2015-11-19,"246,00",",",",","246,00",0.0,0,0,0
2015-11-18,"246,00",",",",","246,00",0.0,0,0,0
2015-11-17,"246,00",",",",","246,00",0.0,0,0,0
2015-11-16,"246,00",",",",","246,00",0.0,0,0,0
2015-11-13,"246,00",",",",","246,00",0.0,0,0,0
2015-11-12,"246,00",",",",","246,00",0.0,0,0,0
2015-11-11,"246,00",",",",","246,00",0.0,0,0,0
2015-11-10,"246,00",",",",","246,00",0.0,0,0,0
2015-11-09,"246,00",",",",","246,00",0.0,0,0,0
2015-11-06,"246,00",",",",","246,00",0.0,0,0,0
2015-11-05,"246,00",",",",","246,00",0.0,0,0,0
2015-11-04,"246,00",",",",","246,00",0.0,0,0,0
2015-11-03,"246,00",",",",","246,00",0.0,0,0,0
2015-11-02,"246,00",",",",","246,00",0.0,0,0,0
2015-10-30,"246,00",",",",","246,00",0.0,0,0,0
2015-10-29,"246,00",",",",","246,00",0.0,0,0,0
2015-10-28,"246,00",",",",","246,00",0.0,0,0,0
2015-10-27,"246,00",",",",","246,00",0.0,0,0,0
2015-10-26,"246,00",",",",","246,00",0.0,0,0,0
2015-10-22,"246,00",",",",","246,00",0.0,0,0,0
2015-10-21,"246,00",",",",","246,00",0.0,0,0,0
2015-10-20,"246,00",",",",","246,00",0.0,0,0,0
2015-10-19,"246,00",",",",","246,00",0.0,0,0,0
2015-10-16,"246,00",",",",","246,00",0.0,0,0,0
2015-10-15,"246,00",",",",","246,00",0.0,0,0,0
2015-10-14,"246,00",",",",","246,00",0.0,0,0,0
2015-10-13,"246,00",",",",","246,00",0.0,0,0,0
2015-10-09,"246,00",",",",","246,00",0.0,0,0,0
2015-10-08,"246,00",",",",","246,00",0.0,0,0,0
2015-10-07,"246,00",",",",","246,00",0.0,0,0,0
2015-10-06,"246,00",",",",","246,00",0.0,0,0,0
2015-10-05,"246,00","246,00","246,00","246,00",-38.5,514,"126,444","126,444"
2015-10-02,"400,00",",",",","400,00",0.0,0,0,0
2015-10-01,"400,00","400,00","400,00","400,00",36.52,471,"188,400","188,400"
2015-09-30,"293,00","293,00","293,00","293,00",-77.67,643,"188,399","188,399"
2015-09-29,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-09-28,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-09-25,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-09-24,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-09-23,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-09-22,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-09-21,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-09-18,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-09-17,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-09-16,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-09-15,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-09-14,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-09-11,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-09-10,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-09-09,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-09-07,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-09-04,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-09-03,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-09-02,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-09-01,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-08-31,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-08-27,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-08-26,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-08-25,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-08-24,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-08-21,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-08-20,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-08-19,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-08-18,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-08-17,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-08-14,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-08-13,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-08-12,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-08-11,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-08-10,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-08-07,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-08-06,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-08-05,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-08-04,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-07-31,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-07-30,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-07-29,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-07-28,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-07-27,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-07-24,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-07-23,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-07-22,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-07-21,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-07-20,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-07-16,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-07-15,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-07-14,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-07-13,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-07-10,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-07-09,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-07-08,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-07-07,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-07-06,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-07-03,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-07-02,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-07-01,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-06-30,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-06-29,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-06-26,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-06-25,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-06-24,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-06-23,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-06-22,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-06-19,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-06-18,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-06-17,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-06-16,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-06-15,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-06-12,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-06-11,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-06-10,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-06-09,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-06-08,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-06-05,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-06-04,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-06-03,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-06-02,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-06-01,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-05-28,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-05-27,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-05-26,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-05-22,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-05-21,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-05-20,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-05-19,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-05-18,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-05-15,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-05-14,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-05-13,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-05-12,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-05-11,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-05-08,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-05-07,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-05-06,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-05-05,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-05-04,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-04-30,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-04-29,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-04-28,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-04-27,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-04-24,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-04-23,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-04-22,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-04-21,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-04-20,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-04-17,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-04-16,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-04-15,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-04-14,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-04-09,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-04-08,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-04-07,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-04-06,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-04-03,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-04-02,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-04-01,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-03-31,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-03-30,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-03-27,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-03-26,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-03-25,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-03-24,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-03-23,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-03-20,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-03-19,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-03-18,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-03-17,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-03-16,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-03-13,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-03-12,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-03-11,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-03-10,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-03-09,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-03-06,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-03-05,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-03-04,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-03-03,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-03-02,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-02-27,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-02-26,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-02-25,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-02-24,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-02-23,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-02-20,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-02-19,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-02-18,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-02-17,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-02-16,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-02-13,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-02-12,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-02-11,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-02-10,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-02-09,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-02-06,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-02-05,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-02-04,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-02-03,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-02-02,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-01-30,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-01-29,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-01-28,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-01-27,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-01-26,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-01-23,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-01-22,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-01-21,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-01-20,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-01-16,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-01-15,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-01-14,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-01-13,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-01-12,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-01-09,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-01-08,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-01-05,"1.312,00",",",",","1.312,00",0.0,0,0,0
2015-01-02,"1.312,00",",",",","1.312,00",0.0,0,0,0
2014-12-30,"1.312,00",",",",","1.312,00",0.0,0,0,0
2014-12-29,"1.312,00",",",",","1.312,00",0.0,0,0,0
2014-12-26,"1.312,00",",",",","1.312,00",0.0,0,0,0
2014-12-25,"1.312,00",",",",","1.312,00",0.0,0,0,0
2014-12-24,"1.312,00",",",",","1.312,00",0.0,0,0,0
2014-12-23,"1.312,00",",",",","1.312,00",0.0,0,0,0
2014-12-22,"1.312,00",",",",","1.312,00",0.0,0,0,0
2014-12-19,"1.312,00",",",",","1.312,00",0.0,0,0,0
2014-12-18,"1.312,00",",",",","1.312,00",0.0,0,0,0
2014-12-17,"1.312,00",",",",","1.312,00",0.0,0,0,0
2014-12-16,"1.312,00",",",",","1.312,00",0.0,0,0,0
2014-12-15,"1.312,00",",",",","1.312,00",0.0,0,0,0
2014-12-12,"1.312,00",",",",","1.312,00",0.0,0,0,0
2014-12-11,"1.312,00",",",",","1.312,00",0.0,0,0,0
2014-12-10,"1.312,00",",",",","1.312,00",0.0,0,0,0
2014-12-09,"1.312,00",",",",","1.312,00",0.0,0,0,0
2014-12-05,"1.312,00",",",",","1.312,00",0.0,0,0,0
2014-12-04,"1.312,00",",",",","1.312,00",0.0,0,0,0
2014-12-02,"1.312,00",",",",","1.312,00",0.0,0,0,0
2014-12-01,"1.312,00",",",",","1.312,00",0.0,0,0,0
2014-11-28,"1.312,00",",",",","1.312,00",0.0,0,0,0
2014-11-27,"1.312,00",",",",","1.312,00",0.0,0,0,0
2014-11-26,"1.312,00",",",",","1.312,00",0.0,0,0,0
2014-11-25,"1.312,00",",",",","1.312,00",0.0,0,0,0
2014-11-24,"1.312,00",",",",","1.312,00",0.0,0,0,0
2014-11-21,"1.312,00",",",",","1.312,00",0.0,0,0,0
